time_min,time_days,m_sodium_mEq,v_ecf_L,prc_pg_per_mL,agt_fmol_per_mL,angi_fmol_per_mL,angii_fmol_per_mL,ang17_fmol_per_mL,angiv_fmol_per_mL,at1_bound_fmol_per_mL,at2_bound_fmol_per_mL,n_aldo,n_adh,baro_integral_min,ra_integral_min,a_auto,a_baro,a_chemo,alpha_map,alpha_rap,at1_bound_pg_per_mL,autonomic_adh_stimulus,beta_rsna,c_adh_mU_per_L,c_aldo_ng_per_L,c_anp_hat,c_sodium_mEq_per_L,delta_ra,delta_rihp_mmHg,epsilon_aum,epsilon_aum_adh,eta_cd,eta_dt,eta_pt,gamma_at1_tubule,gamma_filtered_sodium,gamma_rihp_cd,gamma_rihp_dt,gamma_rihp_pt,gamma_rsna_tubule,gfr_L_per_min,gfr_mL_per_min,implied_p_gh_mmHg,lambda_aldo_cd,lambda_anp,lambda_dt,mu_adh,mu_aldo,n_adh_stimulus,n_aldo_stimulus,net_filtration_pressure_mmHg,p_b_cvp_mmHg,p_b_total_mmHg,p_gh_mmHg,p_gh_residual_mmHg,p_ma_mmHg,p_peritubular_mmHg,p_ra_mmHg,phi_cd_reab_mEq_per_min,phi_dt_reab_mEq_per_min,phi_dt_sodium_mEq_per_min,phi_filtered_sodium_mEq_per_min,phi_md_sodium_mEq_per_min,phi_pt_reab_mEq_per_min,phi_tubular_water_reab_L_per_min,phi_urine_L_per_min,phi_urine_sodium_mEq_per_min,phi_water_in_L_per_min,pra_fmol_per_mL_per_min,psi_aldo_dt,psi_at1_aa,psi_at1_ea,psi_at1_preglom,r_aa_equivalent_mmHg_min_per_L,r_aa_single_mmHg_min_per_L,r_ea_equivalent_mmHg_min_per_L,r_ea_single_mmHg_min_per_L,r_preglom_mmHg_min_per_L,r_renal_mmHg_min_per_L,raw_v_at1,raw_v_md,raw_v_rsna,renal_blood_flow_L_per_min,renin_secretion_pg_per_mL_per_min,rsna,sigma_myo,sigma_tgf,sngfr_nL_per_min,sodium_adh_stimulus,sodium_intake_mEq_per_min,v_at1,v_md,v_rsna,xi_at1,xi_k_sodium,xi_map
0.000000000000000000e+00,0.000000000000000000e+00,2.160000000000000000e+03,1.500000000000000000e+01,2.798828379324600135e+01,4.748301026345390128e+05,1.224056448165699962e+01,6.458821606363000178e+00,2.089440280323600163e+01,1.824796522373999919e+00,2.199073936750799874e+01,7.268125723159999829e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.300627171149952233e+01,0.000000000000000000e+00,1.075000000000000178e+00,4.000000000000000000e+00,8.500000000000000000e+01,1.021838151365224157e+00,1.440000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.851439886075846974e-01,4.549953138782084072e-01,6.056155915450194271e-01,1.005547895256870605e+00,8.815349184285560247e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.341725475626929343e-02,8.341725475626928699e+01,5.668082647296063925e+01,9.660438838411188334e-01,1.017716184863477480e+00,9.680715100162806674e-01,1.038674889394732848e+00,1.006123280684836585e+00,1.000000000000000000e+00,8.866105935543027172e-01,1.068082647327391754e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668082647327391754e+01,3.132782921966281720e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.285347694322051648e+00,2.155485205374205737e+00,2.581893707392307835e+00,1.201208468490277781e+01,4.737378912766513572e+00,7.274705772136264237e+00,9.078120746768120197e-02,2.999999999999999737e-04,2.965460130702561869e-01,1.460575822931698027e-03,2.845475518980009966e+01,9.099906277564168144e-01,2.057303658594342721e+00,2.067924296161558484e+00,2.057303658594342721e+00,5.502395084504028233e+01,1.100479016900805682e+08,1.033962148080779286e+02,2.067924296161558628e+08,2.399816033477592114e+01,1.824183259878941499e+02,1.000000000736317451e+00,1.025541203976190729e+01,1.086616004830798232e+00,5.481905365507866446e-01,1.616666666666666696e+00,1.050000000000000044e+00,7.234022061061597952e-01,1.146420185494482435e+00,4.170862737813464349e+01,3.000000000000000000e+00,1.260000000000000009e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.058977586391052217e+00,8.502758077226175715e-01,9.846600667382185978e-01
1.500000000000000000e+01,1.041666666666666609e-02,2.157354976153967527e+03,1.501662709282681973e+01,2.800958819737507355e+01,4.748299854712261586e+05,1.224944294101987730e+01,6.463203636828072973e+00,2.089600691287745349e+01,1.825929935367030410e+00,2.199431095096204203e+01,7.269306161758883000e+00,9.605260750385559154e-01,9.289185195383188320e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.301000823067747092e+01,0.000000000000000000e+00,1.075000000000000178e+00,3.715674078153275328e+00,8.164471637827725203e+01,1.021838151365224157e+00,1.436644169704725584e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.821513226989954326e-01,4.495310259574525347e-01,6.056251650917631180e-01,1.005551682891105303e+00,8.815455331468670108e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.344038941066590775e-02,8.344038941066590098e+01,5.668378865661593835e+01,9.637123062803143458e-01,1.017716184863477480e+00,9.671326720979549485e-01,1.025146877110404642e+00,1.003898933570209095e+00,8.881389901575195145e-01,9.106572757302462406e-01,1.068378865693545521e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668378865693545521e+01,3.195168574166018516e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.295676387968534904e+00,2.125173555755065724e+00,2.602361215017820140e+00,1.198741489647250980e+01,4.727534770772885864e+00,7.259880125699623932e+00,9.078346192810432536e-02,2.999999999999999737e-04,3.066848270492852357e-01,1.323614496632530106e-03,2.847641466733132276e+01,8.990620519149050693e-01,2.057510472946908031e+00,2.068112322042738427e+00,2.057510472946908031e+00,5.501099998866693142e+01,1.100219999773338586e+08,1.034056161021369178e+02,2.068112322042738497e+08,2.400876258061242297e+01,1.824253786714162970e+02,9.998457327500798186e-01,1.027980446499544875e+01,1.086616004830798232e+00,5.481693431489020885e-01,1.620261903828628114e+00,1.050000000000000044e+00,7.236490547446213784e-01,1.145644216438906682e+00,4.172019470533295049e+01,2.664416970472558432e+00,1.260000000000000009e-01,9.998457320138759430e-01,1.002378492949768107e+00,1.000000000000000000e+00,1.059040805445987665e+00,8.732848830868800150e-01,9.846600667382185978e-01
3.000000000000000000e+01,2.083333333333333218e-02,2.154614087151647709e+03,1.503022465423470777e+01,2.804848568027928124e+01,4.748293743967751507e+05,1.226640343587184923e+01,6.472109528969250292e+00,2.090422192084211517e+01,1.828427181013480229e+00,2.201076954005521813e+01,7.274745864933604977e+00,9.458049039096663169e-01,8.248390539129986099e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.302722687741497154e+01,0.000000000000000000e+00,1.075000000000000178e+00,3.299356215651994439e+00,8.039341683232163405e+01,1.021838151365224157e+00,1.433520879905539971e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.811394440636780567e-01,4.474529670259284053e-01,6.056425138532355312e-01,1.005569129602321032e+00,8.815554906044308359e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.346076190724513455e-02,8.346076190724512855e+01,5.668639717089644137e+01,9.628196585043141686e-01,1.017716184863477480e+00,9.669189328799381311e-01,1.001104071843504473e+00,1.003034944229432401e+00,7.840293301846656959e-01,9.333459298960974371e-01,1.068639717122216837e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668639717122216837e+01,3.257270009271451272e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.297155272365914769e+00,2.111173130149284649e+00,2.607028079201394011e+00,1.196427448468608112e+01,4.718201209350678660e+00,7.246073275335402464e+00,9.077314733209398967e-02,2.999999999999999737e-04,3.098728068354792420e-01,1.080194485417102813e-03,2.851596044161727050e+01,8.949059340518568106e-01,2.058463510425533549e+00,2.068978778835671051e+00,2.058463510425533549e+00,5.501737186551022774e+01,1.100347437310204506e+08,1.034489389417835525e+02,2.068978778835670948e+08,2.402709873134530838e+01,1.824934095386390993e+02,9.991354649940600297e-01,1.030284817740297676e+01,1.086616004830798232e+00,5.479649936554400469e-01,1.622740384669053126e+00,1.050000000000000044e+00,7.238664309351807713e-01,1.144902521954004992e+00,4.173038095362256428e+01,2.352087990553997088e+00,1.260000000000000009e-01,9.991354642583791801e-01,1.004625473599417784e+00,1.000000000000000000e+00,1.059332047882498351e+00,8.947963451046696548e-01,9.846600667382185978e-01
4.500000000000000000e+01,3.125000000000000000e-02,2.151859078166680774e+03,1.503982894750381227e+01,2.808389332906274660e+01,4.748281983827876975e+05,1.228198397639694051e+01,6.480396053964675218e+00,2.091836567480753573e+01,1.830790775983865526e+00,2.203500955428308927e+01,7.282757395059708649e+00,9.453016971523775513e-01,7.284468266838582950e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.305258629549988569e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.913787306735433180e+00,8.035064425795209786e+01,1.021838151365224157e+00,1.430773638235977785e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.812894872407115443e-01,4.473815347580640256e-01,6.056640330172909925e-01,1.005594802538886778e+00,8.815643062687485987e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.347783797709151798e-02,8.347783797709152509e+01,5.668858360749074876e+01,9.627889152579486298e-01,1.017716184863477480e+00,9.671144632376150740e-01,9.729674147264759654e-01,1.003005064717785055e+00,6.924546078659261639e-01,9.535492612730039896e-01,1.068858360782221695e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.668858360782221695e+01,3.314681862320867367e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.293783871278593622e+00,2.107106893009030646e+00,2.602758689951420568e+00,1.194378899545567130e+01,4.709865582960451214e+00,7.233923412495220084e+00,9.075509560078616478e-02,2.999999999999999737e-04,3.089748186728269452e-01,7.953206545410511016e-04,2.855195821788045762e+01,8.947630695161280512e-01,2.059867116333074843e+00,2.070254871065258406e+00,2.059867116333074843e+00,5.503664614638550034e+01,1.100732922927709967e+08,1.035127435532629221e+02,2.070254871065258384e+08,2.404953404482292356e+01,1.825989237444713353e+02,9.980912749317911725e-01,1.032335904812858018e+01,1.086616004830798232e+00,5.476483538311531785e-01,1.624271638233207415e+00,1.050000000000000044e+00,7.240486339851844866e-01,1.144235186507347013e+00,4.173891898854575544e+01,2.077363823597778492e+00,1.260000000000000009e-01,9.980912741968791524e-01,1.006625478147853192e+00,1.000000000000000000e+00,1.059760735307186064e+00,9.137954349010257715e-01,9.846600667382185978e-01
6.000000000000000000e+01,4.166666666666666435e-02,2.149134982501187096e+03,1.504498274751612819e+01,2.811085676508350417e+01,4.748265707279864000e+05,1.229388072974213664e+01,6.486747362552568674e+00,2.093523042510473431e+01,1.832611639699193162e+00,2.205939859439563477e+01,7.290818179503658847e+00,9.522905632260307840e-01,6.457918971973547473e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.307810162148483002e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.583167588789418989e+00,8.094469787421262197e+01,1.021838151365224157e+00,1.428472879343116233e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.820359218317215255e-01,4.483712608778427366e-01,6.056846622727763974e-01,1.005620606457815258e+00,8.815717113992816989e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.349183588282863000e-02,8.349183588282862445e+01,5.669037591295786171e+01,9.632145274732903939e-01,1.017716184863477480e+00,9.675058924580063335e-01,9.428420700093307349e-01,1.003417988574903497e+00,6.157626447705411010e-01,9.706060951549935201e-01,1.069037591329431791e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669037591329431791e+01,3.364561962371226400e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.288193972121320474e+00,2.108615760773598691e+00,2.594218574873270899e+00,1.192658232051871181e+01,4.702834335646869590e+00,7.223747984871842220e+00,9.073075752209544542e-02,2.999999999999999737e-04,3.060246027519504253e-01,4.903059032973179285e-04,2.857937104450156340e+01,8.967425217556854733e-01,2.061279331907376999e+00,2.071538790605976121e+00,2.061279331907376999e+00,5.505846439205981113e+01,1.101169287841196209e+08,1.035769395302988016e+02,2.071538790605975986e+08,2.407098646977840062e+01,1.827063903921369956e+02,9.970429234515237882e-01,1.034060951144852858e+01,1.086616004830798232e+00,5.473262308196945591e-01,1.625276901812125807e+00,1.050000000000000044e+00,7.241979927745264556e-01,1.143668633215070063e+00,4.174591794141431222e+01,1.847287934311623303e+00,1.260000000000000009e-01,9.970429227173837061e-01,1.008307562032251470e+00,1.000000000000000000e+00,1.060191756914237837e+00,9.297630135220131820e-01,9.846600667382185978e-01
7.500000000000000000e+01,5.208333333333333565e-02,2.146461946820737467e+03,1.504555371749344417e+01,2.813044716023581415e+01,4.748246216872229706e+05,1.230252962534567374e+01,6.491368715047356019e+00,2.095224358094535688e+01,1.833938091131994241e+00,2.208016472647975093e+01,7.297681562141620226e+00,9.625158020191652009e-01,5.785259255335738482e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.309982673354858917e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.314103702134295393e+00,8.181384317162904551e+01,1.021838151365224157e+00,1.426642041312875904e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.830137904523718273e-01,4.498101843169196035e-01,6.057019354026157432e-01,1.005642556098625517e+00,8.815776102144700088e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.350291172114264471e-02,8.350291172114263816e+01,5.669179407406962667e+01,9.638319694533697968e-01,1.017716184863477480e+00,9.679580346388497736e-01,9.130319540983280469e-01,1.004014230316054412e+00,5.547347104291967534e-01,9.842493084266065173e-01,1.069179407441006902e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669179407441006902e+01,3.404423409847368021e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.282029824869681534e+00,2.112859249622936808e+00,2.584364875774576298e+00,1.191287644334198070e+01,4.697224125397513106e+00,7.215652317944467597e+00,9.070236918240559554e-02,2.999999999999999737e-04,3.023350509048947643e-01,1.884772910442167673e-04,2.859928794623974468e+01,8.996203686338392069e-01,2.062481752265425072e+00,2.072631974117661979e+00,2.062481752265425072e+00,5.507767750901771819e+01,1.101553550180354416e+08,1.036315987058831070e+02,2.072631974117662013e+08,2.408895834173561212e+01,1.827982345566364302e+02,9.961520808487260847e-01,1.035434015143386155e+01,1.086616004830798232e+00,5.470512351639641446e-01,1.625980915715234287e+00,1.050000000000000044e+00,7.243161728675059363e-01,1.143214179867467317e+00,4.175145586057131908e+01,1.664204131287590371e+00,1.260000000000000009e-01,9.961520801152419224e-01,1.009646429737624862e+00,1.000000000000000000e+00,1.060558513785953227e+00,9.425060753623188958e-01,9.846600667382185978e-01
9.000000000000000000e+01,6.250000000000000000e-02,2.143844701118366629e+03,1.504177721162583303e+01,2.814445352471855344e+01,4.748224542426146800e+05,1.230871659943050389e+01,6.494676915360883207e+00,2.096794367072369880e+01,1.834888443012532955e+00,2.209647516066050699e+01,7.303072298862374190e+00,9.733723126342732623e-01,5.265575453684790963e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.311689038357981119e+01,0.000000000000000000e+00,1.075000000000000178e+00,2.106230181473916385e+00,8.273664657391323374e+01,1.021838151365224157e+00,1.425260240832035947e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.840044533841791008e-01,4.513262777559507999e-01,6.057153715680300143e-01,1.005659782453041773e+00,8.815820648395139569e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.351125084101666818e-02,8.351125084101666118e+01,5.669286182309013356e+01,9.644808179100484713e-01,1.017716184863477480e+00,9.683920791498645819e-01,8.859705165195604915e-01,1.004637252229428013e+00,5.086746944011982796e-01,9.945854921408155969e-01,1.069286182343363123e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669286182343363123e+01,3.434976747485052329e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.276237734758676634e+00,2.118066665228376166e+00,2.574916592382196612e+00,1.190252654858519854e+01,4.692983257610572778e+00,7.209543290974625762e+00,9.067315529481777270e-02,2.999999999999999737e-04,2.986788576235199777e-01,-8.552503683735817458e-05,2.861352775013052963e+01,9.026525555119015998e-01,2.063426164623774817e+00,2.073490588906398369e+00,2.063426164623774817e+00,5.509303814923095644e+01,1.101860762984619141e+08,1.036745294453199193e+02,2.073490588906398416e+08,2.410294927728374503e+01,1.828705168718346386e+02,9.954535271608530023e-01,1.036469966187030245e+01,1.086616004830798232e+00,5.468350049564594251e-01,1.626466345299535377e+00,1.050000000000000044e+00,7.244051519528024174e-01,1.142869229724396973e+00,4.175562542050833059e+01,1.526024083203594728e+00,1.260000000000000009e-01,9.954535264278832063e-01,1.010656580319217790e+00,1.000000000000000000e+00,1.060846423954652007e+00,9.521454094867785045e-01,9.846600667382185978e-01
1.050000000000000000e+02,7.291666666666667129e-02,2.141279383570831214e+03,1.503422159541094238e+01,2.815417872701453561e+01,4.748201461025871686e+05,1.231301733655841701e+01,6.496979951060490421e+00,2.098163931747252420e+01,1.835551247175151612e+00,2.210868607304029609e+01,7.307108108886201769e+00,9.833881623592093391e-01,4.884429759786915182e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.312966519589329906e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.953771903914766073e+00,8.358799380053280004e+01,1.021838151365224157e+00,1.424270202472229698e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.848912636627165318e-01,4.527145123574682906e-01,6.057253292319415561e-01,1.005672671224406844e+00,8.815852590134836131e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.351719630527734695e-02,8.351719630527735205e+01,5.669362308611745505e+01,9.650734185995684111e-01,1.017716184863477480e+00,9.687683098701914686e-01,8.634864204171018853e-01,1.005203103511939977e+00,4.756734157409899244e-01,1.002015246543100258e+00,1.069362308646316961e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669362308646316961e+01,3.457145680840767454e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.271281754758446070e+00,2.123203342771179170e+00,2.566735426177925827e+00,1.189510540916303150e+01,4.689938768949104997e+00,7.205166640213926499e+00,9.064644561275875256e-02,2.999999999999999737e-04,2.954536714194797575e-01,-3.131836024271123994e-04,2.862341503913144436e+01,9.054290247149365811e-01,2.064133199354217130e+00,2.074133391192581666e+00,2.064133199354217130e+00,5.510476299622788332e+01,1.102095259924557656e+08,1.037066695596290771e+02,2.074133391192581654e+08,2.411331967262372444e+01,1.829247522284807133e+02,9.949312082202951268e-01,1.037212617731508679e+01,1.086616004830798232e+00,5.466728738552331102e-01,1.626777715406328095e+00,1.050000000000000044e+00,7.244685905385974678e-01,1.142620836623944758e+00,4.175859815263867603e+01,1.427020247222969829e+00,1.260000000000000009e-01,9.949312074877099121e-01,1.011380736054354523e+00,1.000000000000000000e+00,1.061061881569915322e+00,9.590633424047450006e-01,9.846600667382185978e-01
1.200000000000000000e+02,8.333333333333332871e-02,2.138758143163211571e+03,1.502365167477622521e+01,2.816061880448994970e+01,4.748177566587302135e+05,1.231586967775144359e+01,6.498510494962890682e+00,2.099308878966415648e+01,1.835992859323905879e+00,2.211745860132263530e+01,7.310007503826972730e+00,9.918680251540750170e-01,4.618344138049925718e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.313884283953171561e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.847337655219970287e+00,8.430878213809637600e+01,1.021838151365224157e+00,1.423594069845251511e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.856254811667642057e-01,4.538821368240790743e-01,6.057324042449130364e-01,1.005681926592528974e+00,8.815874427429960525e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352122440203878229e-02,8.352122440203878284e+01,5.669413884754506938e+01,9.655707221211771163e-01,1.017716184863477480e+00,9.690727579745833653e-01,8.462981690097175491e-01,1.005675640222333911e+00,4.531356615083836914e-01,1.007103967236430808e+00,1.069413884789229030e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669413884789229030e+01,3.472209186838881578e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.267308378803558622e+00,2.127733336255616781e+00,2.560120984568444502e+00,1.189003197649569188e+01,4.687854320824061283e+00,7.202177655671630596e+00,9.062453665691376503e-02,2.999999999999999737e-04,2.928126057648858804e-01,-4.872215764872324384e-04,2.862996245123144945e+01,9.077642736481581487e-01,2.064641142183511135e+00,2.074595188579695826e+00,2.064641142183511135e+00,5.511337137089510918e+01,1.102267427417902201e+08,1.037297594289847922e+02,2.074595188579695821e+08,2.412068439788181351e+01,1.829638151977617042e+02,9.945563124678221678e-01,1.037720576744275647e+01,1.086616004830798232e+00,5.465561586148174333e-01,1.626961125590414170e+00,1.050000000000000044e+00,7.245115706576906733e-01,1.142450406086631620e+00,4.176061220101939142e+01,1.359406984525151074e+00,1.260000000000000009e-01,9.945563117355129545e-01,1.011876044298233523e+00,1.000000000000000000e+00,1.061216623419180660e+00,9.637933759182129023e-01,9.846600667382185978e-01
1.350000000000000000e+02,9.375000000000000000e-02,2.136272033747065507e+03,1.501085753170037940e+01,2.816465871745002403e+01,4.748153301564071444e+05,1.231766175468483837e+01,6.499474117711071308e+00,2.100232602821514760e+01,1.836271632757972672e+00,2.212349612578053382e+01,7.312002956825769395e+00,9.986225952309014664e-01,4.440615691107031027e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.314515917686908253e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.776246276442812411e+00,8.488292059462662564e+01,1.021838151365224157e+00,1.423151228526166676e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.862002354936640014e-01,4.548072093529257898e-01,6.057372234988699367e-01,1.005688294409828210e+00,8.815888746411014720e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352383831502611933e-02,8.352383831502612566e+01,5.669447353550658875e+01,9.659639941023205889e-01,1.017716184863477480e+00,9.693068743223444139e-01,8.340756842977777863e-01,1.006047833593181284e+00,4.383742842055558531e-01,1.010445093458271160e+00,1.069447353585481864e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669447353585481864e+01,3.482298893686675001e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.264275343758940462e+00,2.131447364337541117e+00,2.555038074998490671e+00,1.188670531092503246e+01,4.686485439336031789e+00,7.200219871589000675e+00,9.060817357674764982e-02,2.999999999999999737e-04,2.907627312395502095e-01,-6.109798955526062406e-04,2.863406969607418873e+01,9.096144187058515795e-01,2.064990722639047149e+00,2.074913010437573480e+00,2.064990722639047149e+00,5.511941676396022416e+01,1.102388335279204547e+08,1.037456505218786731e+02,2.074913010437573493e+08,2.412569716125467068e+01,1.829907644470935679e+02,9.942984660565638011e-01,1.038053935065393141e+01,1.086616004830798232e+00,5.464756666936165796e-01,1.627061834345011171e+00,1.050000000000000044e+00,7.245394613212349233e-01,1.142338320744587410e+00,4.176191915751306283e+01,1.315122852616667615e+00,1.260000000000000009e-01,9.942984653244444360e-01,1.012201100297763334e+00,1.000000000000000000e+00,1.061323098913068419e+00,9.668938049613373664e-01,9.846600667382185978e-01
1.500000000000000000e+02,1.041666666666666713e-01,2.133812640182435644e+03,1.499652671312692043e+01,2.816707145473732155e+01,4.748128974739093101e+05,1.231873341014711976e+01,6.500051368354220926e+00,2.100955788830698978e+01,1.836439003796406899e+00,2.212747404038067600e+01,7.313317691312257729e+00,1.003757832112176285e+00,4.326326654437623320e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.500000000000000000e-01,2.500000000000000000e-01,1.050000000000000044e+00,1.000000000000000000e+00,2.314932079156545797e+01,0.000000000000000000e+00,1.075000000000000178e+00,1.730530661775049328e+00,8.531941572953498110e+01,1.021838151365224157e+00,1.422871229452512978e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.866312448621661568e-01,4.555075794733258743e-01,6.057403726802927935e-01,1.005692489046626559e+00,8.815897809212369651e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.540135855238784046e-01,8.352547695986055343e-02,8.352547695986055487e+01,5.669468334918514785e+01,9.662613139184027533e-01,1.017716184863477480e+00,9.694799011583575821e-01,8.258847497570656060e-01,1.006328345173874483e+00,4.290409817504325929e-01,1.012561683202586327e+00,1.069468334953400301e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.669468334953400301e+01,3.488551669761363883e-10,1.000000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,2.262047601303824429e+00,2.134334464157002564e+00,2.551283427481148003e+00,1.188459980924843329e+01,4.685617891638150567e+00,7.198981917610282721e+00,9.059685235106938739e-02,2.999999999999999737e-04,2.892358261773235739e-01,-6.939172238993700226e-04,2.863652264564960959e+01,9.110151589466517486e-01,2.065221048375891044e+00,2.075122411593216309e+00,2.065221048375891044e+00,5.512346373858773774e+01,1.102469274771754742e+08,1.037561205796608164e+02,2.075122411593216360e+08,2.412897036512825011e+01,1.830085546833768149e+02,9.941286550086668727e-01,1.038265113426048636e+01,1.086616004830798232e+00,5.464225438696570514e-01,1.627114904649115124e+00,1.050000000000000044e+00,7.245569457945002512e-01,1.142267218709287713e+00,4.176273847993027744e+01,1.287122945251297779e+00,1.260000000000000009e-01,9.941286542766726297e-01,1.012407019240694872e+00,1.000000000000000000e+00,1.061393241833489487e+00,9.688551356670451753e-01,9.846600667382185978e-01
